id,category,relative_path,source_path,extension,size_bytes,size_human,converted_exists,chunked_exists,status,indexed_at
10,Science,Science/The Beginning of Infinity.pdf,D:\Books\Science\The Beginning of Infinity.pdf,.pdf,2182138,2.1 MB,False,False,pending,2026-03-20T15:19:37
12,Science,Science/The Manga Guide to Physics.pdf,D:\Books\Science\The Manga Guide to Physics.pdf,.pdf,52100027,49.7 MB,False,False,pending,2026-03-20T15:19:37
11,Science,Science/The manga guide to electricity.pdf,D:\Books\Science\The manga guide to electricity.pdf,.pdf,14415253,13.7 MB,False,False,pending,2026-03-20T15:19:37
13,Science,Science/What Evolution Is.pdf,D:\Books\Science\What Evolution Is.pdf,.pdf,5877423,5.6 MB,False,False,pending,2026-03-20T15:19:37
14,Systems_Thinking,Systems_Thinking/Agile Coaching.pdf,D:\Books\Systems_Thinking\Agile Coaching.pdf,.pdf,8668189,8.3 MB,True,False,converted,2026-03-20T15:19:37
15,Systems_Thinking,"Systems_Thinking/Agile Project Management For Dummies, 2nd Edition.pdf","D:\Books\Systems_Thinking\Agile Project Management For Dummies, 2nd Edition.pdf",.pdf,9409778,9.0 MB,True,False,converted,2026-03-20T15:19:37
16,Systems_Thinking,Systems_Thinking/Being Agile Your Roadmap to Successful Adoption of Agile.pdf,D:\Books\Systems_Thinking\Being Agile Your Roadmap to Successful Adoption of Agile.pdf,.pdf,3480495,3.3 MB,True,False,converted,2026-03-20T15:19:37
17,Systems_Thinking,Systems_Thinking/Business Dynamics Systems Thinking and Modeling for a Complex World.pdf,D:\Books\Systems_Thinking\Business Dynamics Systems Thinking and Modeling for a Complex World.pdf,.pdf,199268293,190.0 MB,True,False,converted,2026-03-20T15:19:37
18,Systems_Thinking,"Systems_Thinking/Coaching Agile Teams A Companion for ScrumMasters, Agile Coaches, and Project Managers in Transition.pdf","D:\Books\Systems_Thinking\Coaching Agile Teams A Companion for ScrumMasters, Agile Coaches, and Project Managers in Transition.pdf",.pdf,33242306,31.7 MB,True,False,converted,2026-03-20T15:19:37
19,Systems_Thinking,Systems_Thinking/Coaching for Leadership The Practice of Leadership Coaching from the World's Greatest Coaches.pdf,D:\Books\Systems_Thinking\Coaching for Leadership The Practice of Leadership Coaching from the World's Greatest Coaches.pdf,.pdf,2778375,2.6 MB,True,False,converted,2026-03-20T15:19:37
20,Systems_Thinking,"Systems_Thinking/Connect Building Exceptional Relationships with Family, Friends, and Colleagues.epub","D:\Books\Systems_Thinking\Connect Building Exceptional Relationships with Family, Friends, and Colleagues.epub",.epub,1932392,1.8 MB,True,True,chunked,2026-03-20T15:19:37
223,Systems_Thinking,"Systems_Thinking/Game_Design/Game Mechanics, Advanced Game Design.pdf","D:\Books\Systems_Thinking\Game_Design\Game Mechanics, Advanced Game Design.pdf",.pdf,29226003,27.9 MB,True,False,converted,2026-03-20T15:19:38
224,Systems_Thinking,"Systems_Thinking/Game_Design/Games, Design and Play A Detailed Approach to Iterative Game Design.pdf","D:\Books\Systems_Thinking\Game_Design\Games, Design and Play A Detailed Approach to Iterative Game Design.pdf",.pdf,8692393,8.3 MB,True,False,converted,2026-03-20T15:19:38
225,Systems_Thinking,Systems_Thinking/Game_Design/The Art of Game Design - A Book of Lenses 2nd Edition.pdf,D:\Books\Systems_Thinking\Game_Design\The Art of Game Design - A Book of Lenses 2nd Edition.pdf,.pdf,15531690,14.8 MB,True,False,converted,2026-03-20T15:19:38
226,Systems_Thinking,Systems_Thinking/History_Politics/Beyond Capitalism & Socialism.epub,D:\Books\Systems_Thinking\History_Politics\Beyond Capitalism & Socialism.epub,.epub,2922003,2.8 MB,True,True,chunked,2026-03-20T15:19:38
227,Systems_Thinking,Systems_Thinking/History_Politics/Grand Narratives in Critical International Theory.epub,D:\Books\Systems_Thinking\History_Politics\Grand Narratives in Critical International Theory.epub,.epub,1836594,1.8 MB,True,True,chunked,2026-03-20T15:19:38
228,Systems_Thinking,"Systems_Thinking/History_Politics/Ian Morris - War! What Is It Good For Conflict and the Progress of Civilization from Primates to Robots-Farrar, Straus and Giroux (2014).epub","D:\Books\Systems_Thinking\History_Politics\Ian Morris - War! What Is It Good For Conflict and the Progress of Civilization from Primates to Robots-Farrar, Straus and Giroux (2014).epub",.epub,3604144,3.4 MB,True,True,chunked,2026-03-20T15:19:38
229,Systems_Thinking,Systems_Thinking/History_Politics/Introduction_to_Philosophy.pdf,D:\Books\Systems_Thinking\History_Politics\Introduction_to_Philosophy.pdf,.pdf,50629651,48.3 MB,True,False,converted,2026-03-20T15:19:38
230,Systems_Thinking,Systems_Thinking/History_Politics/Political Theory An Introduction.epub,D:\Books\Systems_Thinking\History_Politics\Political Theory An Introduction.epub,.epub,1120858,1.1 MB,True,True,chunked,2026-03-20T15:19:38
